8,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
CONTO ECONOMICO,,1,2,3,4,5,6,7,8,9,10,11,12,,,,CONTO ECONOMICO,,1,2,3,4,5,6,7,8,9,10,11,12,,
Agosto,,Gennaio,Febbraio,Marzo,Aprile,Maggio,Giugno,Luglio,Agosto,Settembre,Ottobre,Novembre,Dicembre,Totale Progressivo,%,,Agosto,,Gennaio,Febbraio,Marzo,Aprile,Maggio,Giugno,Luglio,Agosto,Settembre,Ottobre,Novembre,Dicembre,Totale Progressivo,%
Ricavi caratteristici,,  56.600 ,  82.100 ,  107.100 ,  132.600 ,  151.200 ,  176.200 ,  219.789 ,  219.789 ,  -   ,  -   ,  -   ,  -   ,  -   ,,,Ricavi caratteristici,,  56.600 ,  25.500 ,  25.000 ,  25.500 ,  18.600 ,  25.000 ,  43.589 ,  -   ,- 219.789 ,  -   ,  -   ,  -   ,  -   ,
Altri ricavi,,  0 ,  0 ,  10.240 ,  10.240 ,  10.241 ,  10.241 ,  10.241 ,  11.347 ,  -   ,  -   ,  -   ,  -   ,  -   ,,,Altri ricavi,,  0 ,  0 ,  10.240 ,  0 ,  1 ,  -   ,  0 ,  1.106 ,- 11.347 ,  -   ,  -   ,  -   ,  -   ,
TOTALE RICAVI,,  56.600 ,  82.100 ,  117.340 ,  142.840 ,  161.441 ,  186.441 ,  230.030 ,  231.136 ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!,,TOTALE RICAVI,,  56.600 ,  25.500 ,  35.240 ,  25.500 ,  18.601 ,  25.000 ,  43.589 ,  1.106 ,- 231.136 ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
Servizi diretti,,  530 ,  5.151 ,  6.478 ,  8.163 ,  9.213 ,  10.367 ,  11.901 ,  14.289 ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!,,Servizi diretti,,  530 ,  4.621 ,  1.327 ,  1.686 ,  1.050 ,  1.154 ,  1.534 ,  2.388 ,- 14.289 ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
Cosulenze dirette,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!,,Cosulenze dirette,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
Servizi informatici web,,  106 ,  210 ,  344 ,  544 ,  606 ,  627 ,  673 ,  806 ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!,,Servizi informatici web,,  106 ,  104 ,  134 ,  200 ,  62 ,  22 ,  46 ,  133 ,- 806 ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
Servizi cloud,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!,,Servizi cloud,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
COSTI DIRETTI,,  636 ,  5.361 ,  6.821 ,  8.707 ,  9.819 ,  10.995 ,  12.574 ,  15.095 ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!,,COSTI DIRETTI,,  636 ,  4.725 ,  1.461 ,  1.886 ,  1.112 ,  1.176 ,  1.580 ,  2.521 ,- 15.095 ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
Beni strumentali,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!,,Beni strumentali,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
Spese per manutenzione,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!,,Spese per manutenzione,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
Altri servizi e prestazioni,,  -   ,  1.250 ,  1.250 ,  1.250 ,  1.250 ,  1.250 ,  1.750 ,  1.750 ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!,,Altri servizi e prestazioni,,  -   ,  1.250 ,  -   ,  -   ,  -   ,  -   ,  500 ,  -   ,- 1.750 ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
COSTI INDIRETTI,,  -   ,  1.250 ,  1.250 ,  1.250 ,  1.250 ,  1.250 ,  1.750 ,  1.750 ,  -   ,  -   ,  -   ,  -   ,,,,COSTI INDIRETTI,,  -   ,  1.250 ,  -   ,  -   ,  -   ,  -   ,  500 ,  -   ,- 1.750 ,  -   ,  -   ,  -   ,,
TOTALE COSTI DIRETTI E INDIRETTI,,  636 ,  6.611 ,  8.071 ,  9.957 ,  11.069 ,  12.245 ,  14.324 ,  16.845 ,  -   ,  -   ,  -   ,  -   ,,#DIV/0!,,TOTALE COSTI DIRETTI E INDIRETTI,,  636 ,  5.975 ,  1.461 ,  1.886 ,  1.112 ,  1.176 ,  2.080 ,  2.521 ,- 16.845 ,  -   ,  -   ,  -   ,,#DIV/0!
GROSS PROFIT,,55.964 ,75.490 ,109.269 ,132.883 ,150.372 ,174.196 ,215.705 ,214.290 ,0 ,0 ,0 ,0 ,0 ,#DIV/0!,,GROSS PROFIT,,55.964 ,19.525 ,33.779 ,23.614 ,17.489 ,23.824 ,41.509 ,-1.415 ,-214.290 ,0 ,0 ,0 ,0 ,#DIV/0!
Ricavi non tipici,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,Ricavi non tipici,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,
Costi commerciali,,6.777 ,8.876 ,11.167 ,12.148 ,13.758 ,14.146 ,14.971 ,15.279 ,0 ,0 ,0 ,0 ,  -   ,#DIV/0!,,Costi commerciali,,  6.777 ,  2.099 ,  2.292 ,  980 ,  1.611 ,  387 ,  825 ,  309 ,- 15.279 ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
Personale,,-6.063 ,5.129 ,59.963 ,72.552 ,85.234 ,109.029 ,122.992 ,137.119 ,0 ,0 ,0 ,0 ,  -   ,#DIV/0!,,Personale,,- 6.063 ,  11.192 ,  54.834 ,  12.589 ,  12.682 ,  23.795 ,  13.963 ,  14.126 ,- 137.119 ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
Compensi amministratore,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,371 ,0 ,,Compensi amministratore,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
Rimborsi amministratore,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,  -   ,#DIV/0!,,Rimborsi amministratore,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
Servizi contabili e paghe,,930 ,1.781 ,6.879 ,8.233 ,9.579 ,10.605 ,11.591 ,12.617 ,0 ,0 ,0 ,0 ,  -   ,#DIV/0!,,Servizi contabili e paghe,,  930 ,  851 ,  5.098 ,  1.354 ,  1.346 ,  1.026 ,  986 ,  1.026 ,- 12.617 ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
Consulenze legali,,0 ,0 ,0 ,0 ,0 ,0 ,1.794 ,1.794 ,0 ,0 ,0 ,0 ,29.150 ,0 ,,Consulenze legali,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.794 ,  -   ,- 1.794 ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
Consulenze tecniche,,4.877 ,11.659 ,17.594 ,21.724 ,25.854 ,26.854 ,26.854 ,29.150 ,0 ,0 ,0 ,0 ,  -   ,#DIV/0!,,Consulenze tecniche,,  4.877 ,  6.782 ,  5.936 ,  4.130 ,  4.130 ,  1.000 ,  -   ,  2.296 ,- 29.150 ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
Altre spese di funzionamento,,3.473 ,26.195 ,30.758 ,33.332 ,35.094 ,36.195 ,37.565 ,39.509 ,0 ,0 ,0 ,0 ,  -   ,#DIV/0!,,Altre spese di funzionamento,,  3.473 ,  22.722 ,  4.563 ,  2.574 ,  1.762 ,  1.101 ,  1.370 ,  1.944 ,- 39.509 ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
TOTALE STRUTTURA,,  9.993 ,  53.639 ,  126.361 ,  147.988 ,  169.520 ,  196.829 ,  215.767 ,  235.468 ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!,,TOTALE STRUTTURA,,  9.993 ,  43.646 ,  72.722 ,  21.627 ,  21.531 ,  27.309 ,  18.938 ,  19.701 ,- 235.468 ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
EBITDA,,45.971 ,21.850 ,-17.092 ,-15.105 ,-19.148 ,-22.632 ,-61 ,-21.178 ,0 ,0 ,0 ,0 ,0 ,#DIV/0!,,EBITDA,,45.971 ,-24.121 ,-38.943 ,1.987 ,-4.042 ,-3.485 ,22.571 ,-21.116 ,21.178 ,0 ,0 ,0 ,0 ,#DIV/0!
Ammortamenti e svalutazioni,,4.382 ,8.440 ,12.988 ,17.310 ,21.803 ,26.127 ,30.609 ,35.091 ,0 ,0 ,0 ,0 ,  -   ,#DIV/0!,,Ammortamenti e svalutazioni,,  4.382 ,  4.058 ,  4.548 ,  4.321 ,  4.494 ,  4.323 ,  4.482 ,  4.482 ,- 35.091 ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
Gestione straordinaria,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,  -   ,#DIV/0!,,Gestione straordinaria,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
Gestione finanziaria,,150 ,357 ,537 ,806 ,963 ,1.158 ,1.415 ,1.603 ,0 ,0 ,0 ,0 ,  -   ,#DIV/0!,,Gestione finanziaria,,  150 ,  207 ,  180 ,  269 ,  158 ,  195 ,  257 ,  188 ,- 1.603 ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
TOTALE ALTRE VOCI NON TIPICHE,,  4.532 ,  8.797 ,  13.526 ,  18.115 ,  22.767 ,  27.285 ,  32.023 ,  36.694 ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!,,TOTALE ALTRE VOCI NON TIPICHE,,  4.532 ,  4.265 ,  4.729 ,  4.590 ,  4.651 ,  4.518 ,  4.739 ,  4.670 ,- 36.694 ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
RISULTATO ANTE IMPOSTE,,41.439 ,13.054 ,-30.618 ,-33.220 ,-41.914 ,-49.917 ,-32.085 ,-57.871 ,0 ,0 ,0 ,0 ,0 ,#DIV/0!,,RISULTATO ANTE IMPOSTE,,41.439 ,-28.386 ,-43.671 ,-2.603 ,-8.694 ,-8.003 ,17.832 ,-25.787 ,57.871 ,0 ,0 ,0 ,0 ,#DIV/0!
Imposte ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!,,Imposte ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
RISULTATO DELL'ESERCIZIO,,41.439 ,13.054 ,-30.618 ,-33.220 ,-41.914 ,-49.917 ,-32.085 ,-57.871 ,0 ,0 ,0 ,0 ,0 ,#DIV/0!,,RISULTATO DELL'ESERCIZIO,,41.439 ,-28.386 ,-43.671 ,-2.603 ,-8.694 ,-8.003 ,17.832 ,-25.787 ,57.871 ,0 ,0 ,0 ,0 ,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHK,,41.439 ,13.054 ,-30.618 ,-33.220 ,-41.914 ,-49.917 ,-32.085 ,-57.871 ,0 ,0 ,0 ,0 ,,,,CHK,,41.439 ,-28.386 ,-43.671 ,-2.603 ,-8.694 ,-8.003 ,17.832 ,-25.787 ,57.871 ,0 ,0 ,0 ,,
,,0,0,(0),0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ammortamenti e svalutazioni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,