,,PROGRESSIVO,,,,,,,,,,FEBBRAIO,,,,,,,,,,PREVISIONI DI FINE ANNO,,,,,,,,,,,,
CONTO ECONOMICO,,2025,,,2024,,,VARIAZIONE,,,,2025,,,2024,,,VARIAZIONE,,,,MESE CORRENTE + BUDGET,,,16-lug-05,,,VARIAZIONE,,,,,,
Febbraio,,,,% RICAVI,,,% RICAVI,,,,,,,% RICAVI,,,% RICAVI,,,,,,,% RICAVI,,,% RICAVI,,,% RICAVI,,, CONTO ECONOMICO,TRASCODIFICA
Ricavi caratteristici,,82.100 ,,"100,0%",0 ,,"0,0%",82.100 ,#DIV/0!,,,25.500 ,, ,0 ,,,25.500 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Ricavi caratteristici,Ricavi caratteristici
Altri ricavi,,0 ,,"0,0%",0 ,,100%,-0 ,"-6,4%",,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri ricavi,Altri ricavi
TOTALE RICAVI,,82.100 ,,100%,0 ,,100%,82.100 ,"17468078,7%",,,25.500 ,,100%,0 ,,#DIV/0!,25.500 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
Servizi diretti,,5.151 ,,"6,3%",261 ,,,4.890 ,"1876,3%",,,4.621 ,,,7 ,,,4.614 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi diretti,Servizi diretti
Cosulenze dirette,,0 ,,"0,0%",0 ,,,0 ,"0,0%",,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Cosulenze dirette,Cosulenze dirette
Servizi informatici web,,210 ,,"0,3%",0 ,,,210 ,"80,6%",,,104 ,,,0 ,,,104 ,,,,,,,,,,,,,,,Servizi informatici web,Servizi informatici web
Servizi cloud,,0 ,,"0,0%",0 ,,,0 ,"0,0%",,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi cloud,Servizi cloud
COSTI DIRETTI,,5.361 ,,"6,5%",261 ,,55455%,5.100 ,"1956,8%",,,4.725 ,,19%,7 ,,n/a,4.718 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
---,,0 ,,,0 ,,,0 ,,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,---,---
---,,0 ,,,0 ,,,0 ,,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,---,---
Altri servizi e prestazioni,,1.250 ,,"1,5%",0 ,,,1.250 ,#DIV/0!,,,1.250 ,,,0 ,,,1.250 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri servizi e prestazioni,Altri servizi e prestazioni
COSTI INDIRETTI,,1.250 ,,"1,5%",0 ,,0%,1.250 ,#DIV/0!,,,1.250 ,,5%,0 ,,n/a,1.250 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
TOTALE COSTI DIRETTI E INDIRETTI,,6.611 ,,"8,1%",261 ,,55455%,6.350 ,"2436,4%",,,5.975 ,,23%,7 ,,n/a,4.718 ,,,,#REF!,,#REF!,#REF!,,n/a,#REF!,,#ERROR!,,,,
GROSS PROFIT,,75.490 ,,"91,9%",-260 ,,-55355%,75.750 ,"-29115,5%",,,19.525 ,,77%,-7 ,,n/a,20.782 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,#ERROR!,,,,
Autofatture,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Autofatture,Ricavi non tipici
Rimborsi spese,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Rimborsi spese,Ricavi non tipici
Altri proventi,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri proventi,Ricavi non tipici
ALTRI RICAVI NON TIPICI,,0 ,,0%,0 ,,0%,0 ,#DIV/0!,,,0 ,,0%,0 ,,n/a,0 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
Spese viaggio,,1.468 ,,"1,8%",399 ,,,1.069 ,"267,9%",,,1.095 ,,,102 ,,,993 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Spese viaggio,Costi commerciali
Pedaggi autostradali,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Pedaggi autostradali,Costi commerciali
Pubblicità,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,,,,,,,,,,,,Pubblicità,Costi commerciali
Materiale pubblicitario,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Materiale pubblicitario,Costi commerciali
Omaggi,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Omaggi,Costi commerciali
Spese di rappresentanza,,1.113 ,,"1,4%",438 ,,,675 ,"153,9%",,,777 ,,,49 ,,,728 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Spese di rappresentanza,Costi commerciali
Mostre e fiere,,5.890 ,,"7,2%",0 ,,,5.890 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Mostre e fiere,Costi commerciali
Servizi commerciali,,113 ,,"0,1%",0 ,,,113 ,#DIV/0!,,,55 ,,,0 ,,,55 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi commerciali,Costi commerciali
Carburante,,292 ,,"0,4%",0 ,,,292 ,#DIV/0!,,,171 ,,,0 ,,,171 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Carburante,Costi commerciali
SPESE COMMERCIALI,,8.876 ,,11%,837 ,,178126%,8.038 ,"960,2%",,,2.099 ,,8%,151 ,,n/a,1.947 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
Beni indeducibili,,877 ,,"1,1%",0 ,,,877 ,#DIV/0!,,,763 ,,,0 ,,,763 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Beni indeducibili,Altre spese di funzionamento
Spese generali,,20.406 ,,"24,9%",2.042 ,,,18.364 ,"899,3%",,,20.212 ,,,134 ,,,20.078 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Spese generali,Altre spese di funzionamento
Materiale vario e di consumo,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Materiale vario e di consumo,Altre spese di funzionamento
Spese di pulizia,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Spese di pulizia,Altre spese di funzionamento
Utenze,,146 ,,"0,2%",128 ,,,19 ,"14,8%",,,146 ,,,128 ,,,19 ,,,,,,,,,,,,,,,Utenze,Altre spese di funzionamento
Assicurazioni,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,,,,,,,,,,,,Assicurazioni,Altre spese di funzionamento
Rimanenze,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,,,,,,,,,,,,Rimanenze,Altre spese di funzionamento
Tasse e valori bollati,,19 ,,"0,0%",0 ,,,19 ,#DIV/0!,,,8 ,,,0 ,,,8 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Tasse e valori bollati,Altre spese di funzionamento
Sanzioni e multe,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Sanzioni e multe,Altre spese di funzionamento
Compensi amministratore,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Compensi amministratore,Compensi amministratore
Rimborsi amministratore,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Rimborsi amministratore,Rimborsi amministratore
Personale,,5.129 ,,"6,2%",17.510 ,,,-12.381 ,"-70,7%",,,11.192 ,,,9.130 ,,,2.063 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Personale,Personale
Servizi amministrativi contabilità,,1.781 ,,"2,2%",1.932 ,,,-151 ,"-7,8%",,,851 ,,,1.114 ,,,-263 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi amministrativi contabilità,Servizi contabili e paghe
Servizi amministrativi paghe,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi amministrativi paghe,Servizi contabili e paghe
Consulenze tecniche,,11.659 ,,"14,2%",32.614 ,,,-20.956 ,"-64,3%",,,6.782 ,,,31.764 ,,,-24.982 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Consulenze tecniche,Consulenze tecniche
Consulenze legali,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,-1.500 ,,,1.500 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Consulenze legali,Consulenze legali
Locazioni e noleggi,,1.707 ,,"2,1%",900 ,,,807 ,"89,7%",,,1.025 ,,,450 ,,,575 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Locazioni e noleggi,Altre spese di funzionamento
Servizi indeducibili,,779 ,,"0,9%",0 ,,,779 ,#DIV/0!,,,41 ,,,0 ,,,41 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi indeducibili,Altre spese di funzionamento
Utili e perdite su cambi,,497 ,,"0,6%",27 ,,,470 ,"1773,2%",,,475 ,,,27 ,,,448 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Utili e perdite su cambi,Altre spese di funzionamento
Perdite su crediti,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Perdite su crediti,Altre spese di funzionamento
Licenze d'uso,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Licenze d'uso,Altre spese di funzionamento
Utenze telefoniche e cellulari,,41 ,,"0,0%",15 ,,,26 ,"167,2%",,,31 ,,,15 ,,,16 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Utenze telefoniche e cellulari,Altre spese di funzionamento
Altri oneri,,1.720 ,,"2,1%",749 ,,,971 ,"129,8%",,,20 ,,,0 ,,,20 ,,,,,,,,,,,,,,,Altri oneri,Altre spese di funzionamento
Abbuoni e arrotondamenti,,4 ,,"0,0%",0 ,,,3 ,"775,6%",,,0 ,,,0 ,,,-0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Abbuoni e arrotondamenti,Altre spese di funzionamento
SPESE DI STRUTTURA,,44.764 ,,55%,55.917 ,,11897183%,-11.153 ,"-19,9%",,,41.547 ,,163%,41.262 ,,n/a,285 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
TOTALE GESTIONE STRUTTURA E NON TIPICA,,53.639 ,,65%,56.754 ,,12075309%,-3.115 ,"-5,5%",,,43.646 ,,-171%,41.413 ,,n/a,2.232 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
EBITDA,,21.850 ,,27%,-57.014 ,,-12130664%,78.865 ,"-138,3%",,,-24.121 ,,-95%,-41.420 ,,n/a,18.550 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,#ERROR!,,,,
Ammortamenti immateriali,,8.306 ,,"10,1%",0 ,,,8.306 ,#DIV/0!,,,3.960 ,,,0 ,,,3.960 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Ammortamenti immateriali,Ammortamenti e svalutazioni
Ammortamenti materiali,,134 ,,"0,2%",0 ,,,134 ,#DIV/0!,,,98 ,,,0 ,,,98 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Ammortamenti materiali,Ammortamenti e svalutazioni
Svalutazioni e accantonamenti,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Svalutazioni e accantonamenti,Ammortamenti e svalutazioni
"AMMORTAMENTI, ACCANT. SVALUTAZIONI",,8.440 ,,"10,3%",0 ,,,8.440 ,#DIV/0!,,,4.058 ,,16%,0 ,,n/a,4.058 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
Plusvalenze e minusvalenze straordinarie,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Plusvalenze e minusvalenze straordinarie,Gestione straordinaria
Altri proventi/costi straordinari,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri proventi/costi straordinari,Gestione straordinaria
GESTIONE STRAORDINARIA,,0 ,,,0 ,,,0 ,,,,0 ,,0%,0 ,,n/a,0 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
EBIT,,13.410 ,,16%,-57.014 ,,-12130664%,70.425 ,"-123,5%",,,-28.179 ,,-111%,-41.420 ,,n/a,14.492 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,#ERROR!,,,,
Spese e commissioni bancarie,,56 ,,"0,1%",14 ,,,42 ,"311,6%",,,31 ,,,5 ,,,27 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Spese e commissioni bancarie,Gestione finanziaria
Interessi passivi su mutui,,301 ,,"0,4%",0 ,,,301 ,#DIV/0!,,,176 ,,,0 ,,,176 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Interessi passivi su mutui,Gestione finanziaria
Altri interessi,,0 ,,"0,0%",140 ,,,-140 ,"-100,0%",,,0 ,,,140 ,,,-140 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri interessi,Gestione finanziaria
GESTIONE FINANZIARIA,,357 ,,"0,4%",153 ,,32636%,203 ,"132,6%",,,207 ,,1%,144 ,,n/a,63 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
EBT,,13.054 ,,"15,9%",-57.168 ,,-12163300%,70.221 ,"-122,8%",,,-28.386 ,,-111%,-41.564 ,,n/a,14.429 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,#ERROR!,,,,
Imposte dirette,,0 ,,,0 ,,,0 ,,,,0 ,,0%,0 ,,n/a,0 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,n/a,,,Imposte dirette,Imposte
RISULTATO DELL'ESERCIZIO,,13.054 ,,16%,-57.168 ,,-12163300%,70.221 ,,,,-28.386 ,,-111%,-41.564 ,,n/a,14.429 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,n/a,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,#ERROR!,,,#REF!,,,#ERROR!,,,,,,